date,area,B,ypi_n,K_min_obs,K_max_obs,K_width,mean_BL,var_BL,skew_BL,kurt_BL,p_deflation_BL,p_highinfl_BL,mean_BKM,var_BKM,skew_BKM,kurt_BKM,mean_maxent,var_maxent,skew_maxent,kurt_maxent,rmse_maxent,p_deflation_maxent,p_highinfl_maxent,mean_KW,var_KW,skew_KW,kurt_KW,p_deflation_KW,p_highinfl_KW,h_KW
2014-05-30,EU,0.9964562938001338,0.0081,0.99,1.05,0.06000000000000005,0.008800652805253176,5.213992468319538e-05,0.7212299309906388,4.079408179218917,0.13004654073613425,0.0014988843068463088,0.008099999999999996,0.00016785045299072543,-446195.2490403947,106026361.75799343,0.0036132170780220603,0.0003530396477422109,0.29624175968666155,2.97118332361629,0.0015806129003303902,0.41893478718421273,0.02986717593943685,0.008553331190553789,6.320884274516614e-05,0.5418681814906406,3.7283584959667233,0.16278385600721662,0.001876219699469946,0.01551635287203137
2014-06-30,EU,0.9971141720299768,0.0077,0.99,1.05,0.06000000000000005,0.008446470623067713,4.9207090710773994e-05,0.6834123897756245,3.950847898008271,0.13608300902916698,0.0008682231327476452,0.00770000000000004,0.00013847621544926803,-595449.9549874405,155657415.86605817,0.003159096878077014,0.00034830054555941737,0.308598200876659,2.9764938597172437,0.0015762132370440677,0.4285969432155943,0.02809633325306354,0.00819107710496239,6.0146140099039916e-05,0.5012236413797364,3.6008851378337456,0.17020276803180318,0.0010859219447687315,0.01551635287203137
2014-07-31,EU,0.996924738334062,0.00675,0.99,1.05,0.06000000000000005,0.0074515845240596965,4.833832416398716e-05,0.8748050132209519,4.389368551572767,0.16443475633033713,0.0007752033016035102,0.006750000000000034,0.00015246627431531046,-515403.7683247674,128164322.51890174,0.002134275952785176,0.00034023559673328576,0.354175111253537,3.017606869644122,0.0015466167367027112,0.45271461915075695,0.025228026498831803,0.00716516940706562,5.916826785073068e-05,0.6505773106359292,3.891330628861926,0.20480167380474176,0.000965515931538131,0.01551635287203137
2014-08-29,EU,0.997533047940013,0.00575,0.99,1.05,0.06000000000000005,0.0067373295484055564,4.0627228104876136e-05,0.5726515708101302,3.2709193373750636,0.18060255582619578,0.00032499091025042385,0.005749999999999922,0.00011657603293735441,-770892.2584371681,218799683.79647574,0.0010699765177618293,0.00032816164741160847,0.37918811816562564,3.021772205356431,0.0015225371785053405,0.47699344159309287,0.02146577245265597,0.006438907845951495,5.1362246847919486e-05,0.40638048909526375,3.0853219188585768,0.22441605608347798,0.0004038324818497622,0.01551635287203137
2014-09-30,EU,0.9982515303571616,0.0058,0.99,1.05,0.06000000000000005,0.007009320757130459,4.3659473116327416e-05,0.826850490710851,4.409379972445555,0.1721942214457995,0.0005630313425166012,0.005800000000000027,0.00018469549588617795,-386566.63050244004,87175641.73935342,0.0012274741744559585,0.0003328503706492987,0.3883442811246087,3.0387701659960618,0.0015009554017617614,0.474561187909178,0.022662310585633817,0.0067194419584976324,5.441600383906614e-05,0.5971677443078958,3.8534960837596506,0.21422628708522223,0.0007004719584851622,0.01551635287203137
2014-10-31,EU,0.9980718612524018,0.00483,0.99,1.05,0.06000000000000005,0.006412902335413747,3.912347128753912e-05,0.6465893664704775,3.4645228649732998,0.1883882458055644,0.0,0.00482999999999989,0.00014266990782663136,-569389.3457573326,145820131.80471286,0.0002141629325119259,0.00032344390146585235,0.42485861736539154,3.061864028314907,0.0014506683552725087,0.4995793326340191,0.019880556792941508,0.006108728341203983,4.972510097961577e-05,0.449287618029034,3.1698942337407954,0.23383235385114257,0.0,0.01551635287203137
2014-11-28,EU,0.9981816551956956,0.0015,0.99,1.05,0.06000000000000005,0.004958407736680096,5.729991394726349e-05,1.7262041798356975,5.8535151877723814,0.2722699821005977,5.4915284812541856e-05,0.0015000000000000568,0.0005264295589624268,-80334.50958769427,10640347.472296767,-0.00259548986712634,0.00031276712434710974,0.649947180646009,3.420837876366765,0.0011326542762151014,0.5816753915069044,0.017517836013672676,0.004575857628893228,6.68739744915946e-05,1.381454347386457,5.105245096463949,0.33381209715503557,6.732797441610236e-05,0.01551635287203137
2014-12-31,EU,0.998361344065144,-0.004775,0.99,1.05,0.06000000000000005,0.0020520406964506335,1.6369169823077173e-05,1.452551243487688,3.132038106457941,0.3477232195302848,6.2852027460881025e-28,-0.004774999999999974,0.002271947924150086,-8960.323464909874,564190.199282603,-0.006912949448854625,0.00024332465364082645,0.7842460376928091,3.747634663596212,0.0010880581655237503,0.6945997245531865,0.007574484273626498,0.0017124294688820162,2.598359937174755e-05,0.7553885452838373,2.9023424095581287,0.42168359128601296,7.622225868060767e-28,0.01551635287203137
2015-01-30,EU,0.9986009795428268,-0.0065,0.99,1.05,0.06000000000000005,0.0034086420784525725,3.929089142994403e-05,2.2389351783354976,8.890859842445158,0.3143178562944704,9.571189290330563e-05,-0.00649999999999995,0.0026993188644275357,-6918.888765642362,398303.0669140813,-0.007785260374820409,0.00024096851455094868,0.9094778686013842,4.095834432011671,0.0009343388384511218,0.7222339381282616,0.00794454607082881,0.0030394608930218465,4.865239464631448e-05,1.629508845173551,6.820550137694802,0.3830131696124604,0.00011663007600866632,0.01551635287203137
2015-02-27,EU,0.999050451107138,-0.00031,0.99,1.05,0.06000000000000005,0.004673480285367109,4.741661063993388e-05,1.6239736104706575,6.066256812967192,0.2718169236269233,0.0009462181142733135,-0.00031000000000003247,0.0006360595548611236,-60487.57168723096,7262497.997772906,-0.004119218455725341,0.00029456864286093754,0.723031198416336,3.568739595890182,0.0010212450863020463,0.6219228743078395,0.01429768736019442,0.0043085686599912505,5.74003866199704e-05,1.251437398463193,5.149722756182022,0.33323572229691256,0.0011600358990144911,0.01551635287203137
2015-03-31,EU,0.9992003199146836,0.0042,0.99,1.05,0.06000000000000005,0.006517067001823812,5.902593958479994e-05,1.296478154293929,5.054552487780789,0.21358846400263132,0.002135879554598601,0.0041999999999999815,0.00027764165664034834,-209740.55736867277,38457054.926545374,-0.00015368057162874912,0.00033956008869468537,0.533130591275228,3.223279557950407,0.00124383625975683,0.5183652127707138,0.023343310043772283,0.006179752760517873,6.976647774664431e-05,1.0446062240614913,4.53107678610222,0.264046405502384,0.0026404910786743774,0.01551635287203137
2015-04-30,EU,0.9993052414565592,0.0116,0.99,1.05,0.06000000000000005,0.012653515654003484,7.428752365373187e-05,0.387360426351677,2.948061698962013,0.08035052023888631,0.003808712217419638,0.011600000000000055,0.00021214641269540202,-314019.2526050642,66825146.658791505,0.007568053493035357,0.00039243021387142056,0.16966967666986296,2.8764932042217684,0.0015484775826138935,0.34391584297498323,0.04801087773545974,0.012467257072420801,8.581364612676436e-05,0.3086444865134228,2.962127942149041,0.10129341437373315,0.004801451260990744,0.01551635287203137
2015-05-29,EU,0.9992902519903588,0.00975,0.99,1.05,0.06000000000000005,0.011114538497298317,8.440478640438493e-05,0.7058269838262173,3.288052317045425,0.11680982670281267,0.006418615048658237,0.009749999999999925,0.0002734161244506428,-214621.88023825473,40087135.05748701,0.0056867397218780796,0.0003982659788557207,0.30398497580764905,2.9495281959845245,0.0013822398815782645,0.38901834260928003,0.04488196266877868,0.01087542128604313,9.652311794990036e-05,0.6008757185361688,3.241950793633072,0.14639719778862148,0.008044482258480052,0.01551635287203137
2015-06-30,EU,0.9992402887268512,0.00999,0.99,1.05,0.06000000000000005,0.012222609178534148,0.00011614806264249116,0.45691158952344246,2.0450039551775365,0.13575848674871163,0.002368153139606502,0.009989999999999943,0.00036008958726396756,-142002.48607787947,23122489.90264985,0.006187822465283081,0.00042443960176699103,0.31676649251995753,2.8601236616862313,0.0012147702613632308,0.39073462822287053,0.05230842654505564,0.01189315779531452,0.00012803939273714677,0.41000652907838503,2.1771101458252575,0.1697681003003779,0.002961425695835147,0.01551635287203137
2015-07-31,EU,0.9994651430869816,0.004975,0.99,1.05,0.06000000000000005,0.008341390842117203,6.310889018640505e-05,0.6196667253945839,2.706512825439598,0.16867916969194532,0.0,0.004974999999999952,0.0006200884445404231,-62839.972030515964,7721444.563686686,0.0011378045699855421,0.00035370921558721855,0.4521256119205666,3.0438047623843487,0.0012358925915933754,0.4873831779173167,0.02629648020130106,0.008019267022602842,7.399530044182311e-05,0.49394593704635426,2.7169107444731546,0.20998162885988716,3.001141937401797e-13,0.01551635287203137
2015-08-31,EU,0.9995301104326982,0.000925,0.99,1.05,0.06000000000000005,0.006124392868513526,4.93025303901338e-05,0.9241611143288905,3.403770785032914,0.21975783838721333,2.3716872620277256e-18,0.0009250000000000647,0.0009782550187893424,-31713.241065421487,3077789.443769287,-0.0025393193823652904,0.00031409081909810157,0.627762880944466,3.3317713906598696,0.0010695687690173191,0.5793249245505223,0.017119877447876467,0.005777709058084681,5.969852614118498e-05,0.7081102851534112,3.209938913759948,0.27151259584109944,2.2401151796359697e-13,0.01551635287203137
2015-09-30,EU,0.999760028797696,0.00254,0.99,1.05,0.06000000000000005,0.006925032004910517,6.821025724774908e-05,1.131788275404927,3.7501461068091344,0.21613310825501114,5.652016429262375e-05,0.0025399999999999867,0.0006757937266379521,-55232.42327748814,6469919.638431946,-0.0012274970074557215,0.0003368873977447413,0.6015459185385641,3.2792348140912844,0.001067097741847954,0.5493694354946298,0.021884600772333604,0.0065579624880707735,7.85100448888242e-05,0.9328455722178046,3.547870570170516,0.26717432991395834,6.986776409883844e-05,0.01551635287203137
2015-10-30,EU,1.0002800392036588,0.003975,0.99,1.05,0.06000000000000005,0.006668908282744655,5.380574550390826e-05,0.9400401952226429,3.5930767518870446,0.2053275878111374,0.0001028950505316259,0.003975000000000062,0.00028059888207021544,-206433.83198727717,37634093.2261331,-0.0003498212569780189,0.000331992599289307,0.5029796572940498,3.1398714382961135,0.0012561437961435286,0.5206986781906097,0.02118173843079107,0.006328938270759107,6.431522585382945e-05,0.7317703888310705,3.359646690868277,0.25421915477131873,0.00012739589967016794,0.01551635287203137
2015-11-30,EU,1.00101051022176,0.006225,0.99,1.05,0.06000000000000005,0.007594741332051003,6.0607356642324394e-05,1.0320473147919242,4.308138269275176,0.1795250620459151,0.0019828953973406865,0.006224999999999925,0.00020562983900007659,-329062.7343810872,70387687.05473463,0.0018149324686798588,0.00036078815533369205,0.46745157980638524,3.1732942866295595,0.001331597154097383,0.47108636877164495,0.029756385612755638,0.0072834479374775775,7.162181845960028e-05,0.828492542338296,3.9585814316667216,0.22305843440558745,0.0024638070775676105,0.01551635287203137
2015-12-31,EU,1.0005701624808698,0.004,0.99,1.05,0.06000000000000005,0.006499667355994068,6.234278978448113e-05,1.293718250473257,4.798618840904735,0.22064224221226275,0.0021682153698550618,0.0040000000000000036,0.0002585866020263783,-233345.6744924383,44316210.94538861,-0.00034000179258443703,0.0003411756446742508,0.5559684433483226,3.2552939648508312,0.0011979012358005752,0.5247345829026216,0.02358681138884189,0.006151316476675875,7.302201891319982e-05,1.0577264629811507,4.372943267566264,0.2724829200215536,0.0026776832675328736,0.01551635287203137
2016-01-29,EU,1.0015411864089452,0.001825,0.99,1.05,0.06000000000000005,0.005261572468092746,4.8869533298990264e-05,1.411334537248541,5.502438127349847,0.24968475366619797,0.0015027838495290564,0.0018249999999999655,0.00033927738423700227,-155266.39363473756,25633333.208112057,-0.0024203386884151584,0.00031287020149453506,0.6270305454875476,3.3743054002900235,0.0011383388428778108,0.5756413349791021,0.017359934591214727,0.004908374931841561,5.922980943896364e-05,1.0985081185966192,4.779319178660433,0.3070688812209138,0.0018481857958179996,0.01551635287203137
2016-02-29,EU,1.00190180614371,-0.0005,0.99,1.05,0.06000000000000005,0.0038448019091930343,3.837783167447382e-05,1.8134799598879214,7.261201079559119,0.29448584067220546,0.0008645002661796595,-0.0004999999999999449,0.00040959180176292076,-117053.16728641847,17507153.033613216,-0.004611443579430467,0.00028249540230197934,0.720293447821854,3.5789519599975637,0.00107369442111684,0.633237879811891,0.012457693135998406,0.0034847688308701713,4.8228876972864336e-05,1.3231478923326818,5.77490256084495,0.3598414276073965,0.0010563714816174434,0.01551635287203137
2016-03-31,EU,1.001471080979615,0.002575,0.99,1.05,0.06000000000000005,0.005361062389509356,5.2236497239924114e-05,1.5093140850156737,5.733679843318667,0.24886902441558242,0.0013299940808995548,0.002574999999999994,0.00020155620426409726,-339088.9173397563,72738567.36016503,-0.001866522510286638,0.0003182985090745981,0.599636728789274,3.330055309543632,0.0011871001485880511,0.5609684581653168,0.01852642116958431,0.005004286421971611,6.249157338931324e-05,1.1871104628527172,4.970027232425728,0.3061096714940648,0.0016359141777691538,0.01551635287203137
