date,area,n,strike_label,k,K,price_per_1,source
2011-07-29,EU,1,S1,0.01,1.01,0.1456,floor
2011-07-29,EU,1,S2,0.02,1.02,0.5552,floor
2011-07-29,EU,1,SN1,-0.01,0.99,0.007201,floor
2011-08-31,EU,1,S0,0.0,1.0,0.049601,floor
2011-08-31,EU,1,S1,0.01,1.01,0.20370000000000002,floor
2011-08-31,EU,1,S2,0.02,1.02,0.7092,floor
2011-08-31,EU,1,SN1,-0.01,0.99,0.013801,floor
2011-09-30,EU,1,S0,0.0,1.0,0.0637,floor
2011-09-30,EU,1,S1,0.01,1.01,0.1783,floor
2011-09-30,EU,1,S2,0.02,1.02,0.5704,floor
2011-09-30,EU,1,SN1,-0.01,0.99,0.027801,floor
2011-10-31,EU,1,S0,0.0,1.0,0.059000000000000004,floor
2011-10-31,EU,1,S1,0.01,1.01,0.1562,floor
2011-10-31,EU,1,S2,0.02,1.02,0.4876,floor
2011-10-31,EU,1,SN1,-0.01,0.99,0.026301,floor
2011-11-30,EU,1,S0,0.0,1.0,0.0969,floor
2011-11-30,EU,1,S1,0.01,1.01,0.1943,floor
2011-11-30,EU,1,S2,0.02,1.02,0.46045,floor
2011-11-30,EU,1,SN1,-0.01,0.99,0.05525,floor
2011-12-30,EU,1,S0,0.0,1.0,0.0875,floor
2011-12-30,EU,1,S1,0.01,1.01,0.2032,floor
2011-12-30,EU,1,S2,0.02,1.02,0.5621,floor
2011-12-30,EU,1,SN1,-0.01,0.99,0.04550099999999999,floor
2012-01-31,EU,1,S0,0.0,1.0,0.0872,floor
2012-01-31,EU,1,S1,0.01,1.01,0.18960000000000002,floor
2012-01-31,EU,1,S2,0.02,1.02,0.5473,floor
2012-01-31,EU,1,SN1,-0.01,0.99,0.050300000000000004,floor
2012-02-29,EU,1,S0,0.0,1.0,0.056299999999999996,floor
2012-02-29,EU,1,S1,0.01,1.01,0.145,floor
2012-02-29,EU,1,S2,0.02,1.02,0.5051,floor
2012-02-29,EU,1,SN1,-0.01,0.99,0.028700999999999997,floor
2012-03-30,EU,1,S0,0.0,1.0,0.045,floor
2012-03-30,EU,1,S1,0.01,1.01,0.1257,floor
2012-03-30,EU,1,S2,0.02,1.02,0.4598,floor
2012-03-30,EU,1,SN1,-0.01,0.99,0.019201,floor
2012-04-30,EU,1,S0,0.0,1.0,0.035,floor
2012-04-30,EU,1,S1,0.01,1.01,0.145,floor
2012-04-30,EU,1,S2,0.02,1.02,0.47,floor
2012-04-30,EU,1,SN1,-0.01,0.99,0.015801,floor
2012-05-31,EU,1,S0,0.0,1.0,0.057999999999999996,floor
2012-05-31,EU,1,S1,0.01,1.01,0.2213,floor
2012-05-31,EU,1,S2,0.02,1.02,0.7087,floor
2012-05-31,EU,1,SN1,-0.01,0.99,0.019701,floor
2012-06-29,EU,1,S0,0.0,1.0,0.08960000000000001,floor
2012-06-29,EU,1,S1,0.01,1.01,0.32015,floor
2012-06-29,EU,1,S2,0.02,1.02,0.93285,floor
2012-06-29,EU,1,SN1,-0.01,0.99,0.030201,floor
2012-07-31,EU,1,S0,0.0,1.0,0.07,floor
2012-07-31,EU,1,S1,0.01,1.01,0.247,floor
2012-07-31,EU,1,S2,0.02,1.02,0.75,floor
2012-07-31,EU,1,SN1,-0.01,0.99,0.022701,floor
2012-08-31,EU,1,S0,0.0,1.0,0.0554,floor
2012-08-31,EU,1,S1,0.01,1.01,0.15380000000000002,floor
2012-08-31,EU,1,S2,0.02,1.02,0.53,floor
2012-08-31,EU,1,SN1,-0.01,0.99,0.011500999999999999,floor
2012-09-28,EU,1,S0,0.0,1.0,0.03,floor
2012-09-28,EU,1,S1,0.01,1.01,0.1257,floor
2012-09-28,EU,1,S2,0.02,1.02,0.4639,floor
2012-09-28,EU,1,SN1,-0.01,0.99,0.011001,floor
2012-10-31,EU,1,S0,0.0,1.0,0.026501,floor
2012-10-31,EU,1,S1,0.01,1.01,0.105,floor
2012-10-31,EU,1,S2,0.02,1.02,0.44,floor
2012-10-31,EU,1,SN1,-0.01,0.99,0.007101,floor
2012-11-30,EU,1,S0,0.0,1.0,0.035501,floor
2012-11-30,EU,1,S1,0.01,1.01,0.14,floor
2012-11-30,EU,1,S2,0.02,1.02,0.535,floor
2012-11-30,EU,1,SN1,-0.01,0.99,0.010101,floor
2012-12-31,EU,1,S0,0.0,1.0,0.035,floor
2012-12-31,EU,1,S1,0.01,1.01,0.175,floor
2012-12-31,EU,1,S2,0.02,1.02,0.6622,floor
2012-12-31,EU,1,SN1,-0.01,0.99,0.007501,floor
2013-01-31,EU,1,S0,0.0,1.0,0.040101000000000005,floor
2013-01-31,EU,1,S1,0.01,1.01,0.165,floor
2013-01-31,EU,1,S2,0.02,1.02,0.645,floor
2013-01-31,EU,1,SN1,-0.01,0.99,0.012601,floor
2013-02-28,EU,1,S0,0.0,1.0,0.04,floor
2013-02-28,EU,1,S1,0.01,1.01,0.17,floor
2013-02-28,EU,1,S2,0.02,1.02,0.635,floor
2013-02-28,EU,1,SN1,-0.01,0.99,0.015901000000000002,floor
2013-03-29,EU,1,S0,0.0,1.0,0.057800000000000004,floor
2013-03-29,EU,1,S1,0.01,1.01,0.2286,floor
2013-03-29,EU,1,S2,0.02,1.02,0.8070999999999999,floor
2013-03-29,EU,1,SN1,-0.01,0.99,0.018201000000000002,floor
2013-04-30,EU,1,S0,0.0,1.0,0.0709,floor
2013-04-30,EU,1,S1,0.01,1.01,0.27699999999999997,floor
2013-04-30,EU,1,S2,0.02,1.02,0.9281999999999999,floor
2013-04-30,EU,1,SN1,-0.01,0.99,0.023701,floor
