date,area,n,strike_label,k,K,price_per_1,source
2011-11-30,EU,1,S2,0.02,1.02,0.60645,cap
2011-11-30,EU,1,S3,0.03,1.03,0.22460000000000002,cap
2011-11-30,EU,1,S4,0.04,1.04,0.08915,cap
2011-11-30,EU,1,S5,0.05,1.05,0.03625,cap
2011-12-30,EU,1,S2,0.02,1.02,0.4435,cap
2011-12-30,EU,1,S3,0.03,1.03,0.1795,cap
2011-12-30,EU,1,S4,0.04,1.04,0.0891,cap
2011-12-30,EU,1,S5,0.05,1.05,0.0516,cap
2012-01-31,EU,1,S2,0.02,1.02,0.4976,cap
2012-01-31,EU,1,S3,0.03,1.03,0.24309999999999998,cap
2012-01-31,EU,1,S4,0.04,1.04,0.11449999999999999,cap
2012-01-31,EU,1,S5,0.05,1.05,0.060700000000000004,cap
2012-02-29,EU,1,S2,0.02,1.02,0.4144,cap
2012-02-29,EU,1,S3,0.03,1.03,0.1788,cap
2012-02-29,EU,1,S4,0.04,1.04,0.09699999999999999,cap
2012-02-29,EU,1,S5,0.05,1.05,0.060700000000000004,cap
2012-03-30,EU,1,S2,0.02,1.02,0.40979999999999994,cap
2012-03-30,EU,1,S3,0.03,1.03,0.115,cap
2012-03-30,EU,1,S4,0.04,1.04,0.0705,cap
2012-03-30,EU,1,S5,0.05,1.05,0.015,cap
2012-04-30,EU,1,S2,0.02,1.02,0.431,cap
2012-04-30,EU,1,S3,0.03,1.03,0.14685,cap
2012-04-30,EU,1,S4,0.04,1.04,0.058499999999999996,cap
2012-04-30,EU,1,S5,0.05,1.05,0.0273,cap
2012-05-31,EU,1,S2,0.02,1.02,0.27105,cap
2012-05-31,EU,1,S3,0.03,1.03,0.09820000000000001,cap
2012-05-31,EU,1,S4,0.04,1.04,0.0431,cap
2012-05-31,EU,1,S5,0.05,1.05,0.0213,cap
2012-06-29,EU,1,S2,0.02,1.02,0.21055,cap
2012-06-29,EU,1,S3,0.03,1.03,0.08289999999999999,cap
2012-06-29,EU,1,S4,0.04,1.04,0.038900000000000004,cap
2012-06-29,EU,1,S5,0.05,1.05,0.0206,cap
2012-07-31,EU,1,S2,0.02,1.02,0.23,cap
2012-07-31,EU,1,S3,0.03,1.03,0.0971,cap
2012-07-31,EU,1,S4,0.04,1.04,0.0285,cap
2012-07-31,EU,1,S5,0.05,1.05,0.0095,cap
2012-08-31,EU,1,S2,0.02,1.02,0.36,cap
2012-08-31,EU,1,S3,0.03,1.03,0.1369,cap
2012-08-31,EU,1,S4,0.04,1.04,0.0351,cap
2012-08-31,EU,1,S5,0.05,1.05,0.0087,cap
2012-09-28,EU,1,S2,0.02,1.02,0.3734,cap
2012-09-28,EU,1,S3,0.03,1.03,0.0932,cap
2012-09-28,EU,1,S4,0.04,1.04,0.015,cap
2012-09-28,EU,1,S5,0.05,1.05,0.0051,cap
