date,area,B,ypi_n,K_min_obs,K_max_obs,K_width,mean_BL,var_BL,skew_BL,kurt_BL,p_deflation_BL,p_highinfl_BL,mean_BKM,var_BKM,skew_BKM,kurt_BKM,mean_maxent,var_maxent,skew_maxent,kurt_maxent,rmse_maxent,p_deflation_maxent,p_highinfl_maxent,mean_KW,var_KW,skew_KW,kurt_KW,p_deflation_KW,p_highinfl_KW,h_KW,skew_KW_structural,skew_KW_residual,skew_BL_structural,skew_BL_residual,skew_MaxEnt_structural,skew_MaxEnt_residual
2009-10-30,EU,0.9876617481746492,0.013248,0.99,1.05,0.06,0.0168035967761125,0.0001354675405301,0.185489417169863,2.1635417352235806,0.0804616355259878,0.0280341445045148,0.0132479999999999,0.001156654080096,-24667.72324225256,2255214.9527268624,0.0106989752083315,0.0005014261986063,0.241721176466914,2.779418076565745,0.0011189782470004,0.3273855170679441,0.092202943210391,0.0166624490946275,0.0001503041671165,0.1735598611536422,2.2731001193438525,0.1010646726458104,0.0352128724730446,0.0155163528720313,0.20085861057328147,-0.02729874941963928,0.24232656885348036,-0.05683715168361736,0.2241602349451663,0.017560941521747697
2009-11-30,EU,0.9874987974300066,0.0109,0.99,1.05,0.06,0.0141186056506226,0.0001203687113299,0.4377531100164019,2.45269500653323,0.1016603234886527,0.0170809985150927,0.0108999999999999,0.0008268012343,-40815.175073278704,4393598.801124356,0.0077698060940378,0.000462162248209,0.3256150969537206,2.874472332071951,0.0011347357707778,0.3703096724772721,0.0679473290211742,0.0139129826370456,0.000134200616877,0.3977975640736361,2.5398766966061888,0.127496175801171,0.0214221248869734,0.0155163528720313,0.33900818192523663,0.05878938214839946,0.41506470086251346,0.022688409153888422,0.2891512431655823,0.03646385378813832
2009-12-31,EU,0.9869755617370756,0.0132,0.99,1.05,0.06,0.015906891691852,0.0001268245893572,0.2893832630880409,2.309956876045775,0.0821476675316795,0.0236301315245314,0.0132000000000001,0.0008192728182672,-41379.18567744373,4494666.435141885,0.0102029610730053,0.000483603958715,0.2426227254406196,2.8193505154791856,0.0011814650069222,0.329303156431124,0.0846162531651133,0.0157568783793451,0.0001411795232389,0.2647622069875218,2.4099587195312684,0.1032243630796155,0.0296931830570845,0.0155163528720313,0.23286876478081586,0.031893442206705924,0.2891094903866087,0.00027377270143219556,0.2211558499916162,0.021466875449003414
2010-01-29,EU,0.9880766532328458,0.013025,0.99,1.05,0.06,0.01555260786133,0.0001300351268218,0.3559408290970357,2.340227349756294,0.0874403633729221,0.0254926665540113,0.013025,0.0009368802007851,-33837.6958231662,3435894.2805688125,0.0101407725485076,0.0005025578103642,0.3022491311244251,2.870774202109914,0.0011044560792555,0.3366806985918207,0.0898846335775753,0.0154006968010574,0.000144652529144,0.3262574005389105,2.4333236199517123,0.1097575252011196,0.0319994790112199,0.0155163528720313,0.2648583001487055,0.06139910039020502,0.3242365875074218,0.031704241589613935,0.2466369072793428,0.0556122238450823
2010-02-26,EU,0.9891611680690704,0.0121999999999999,0.99,1.05,0.06,0.0150339196537107,0.0001297646088234,0.4048029564476913,2.3773939969024465,0.0941731358276244,0.0241845407183703,0.0121999999999999,0.0010099662894014,-30232.05640946513,2951902.1870161933,0.009358951293641,0.0005005124545893,0.3401090897623344,2.896789045240685,0.0010672631435431,0.3512709234129725,0.0855014541936874,0.0148653797971551,0.0001443396246572,0.371214077898553,2.466410378904869,0.1181129601807234,0.0303328981788185,0.0155163528720313,0.29947964392564774,0.07173443397290524,0.364249954804696,0.0405530016429953,0.2740189764484156,0.06609011331391879
2010-03-31,EU,0.9892086489446696,0.0149,0.99,1.05,0.06,0.0168168380341447,0.0001524977643064,-0.0285284062497033,2.0182294297933527,0.1187567519679671,0.0295502764360841,0.0148999999999999,0.0008279150044987,-40732.99276959784,4415760.337154168,0.0120815873619871,0.0005216346263804,0.2160318419877967,2.768466757339186,0.0011289479434485,0.3101423374009048,0.1056364173505211,0.0165573778611789,0.0001689222078106,-0.0030723669005584,2.108278565073189,0.1482850182899923,0.0368982183118868,0.0155163528720313,0.25581905945772654,-0.25889142635828494,0.28256815536162394,-0.31109656161132726,0.19740254567084536,0.018629296316951344
2010-04-30,EU,0.9887141682506724,0.01825,0.99,1.05,0.06,0.01802194705257,0.0001459917922694,0.0579935776658665,2.067228802519134,0.0786182183511184,0.0367912106936837,0.0182500000000001,0.0014138181769285,-18254.108317645176,1523981.8784011854,0.0158972240275355,0.0005028473549359,0.0692648815384504,2.8783392442335565,0.0013633608726056,0.2393753698865732,0.1292004888343144,0.0179014340206762,0.0001616643156549,0.0598668258345095,2.1743184844065446,0.0986473771333083,0.046164794507182,0.0155163528720313,0.15970447372630914,-0.09983764789179964,0.17933287035250367,-0.12133929268663718,0.0388492483500148,0.030415633188435598
2010-05-31,EU,0.98891687543194,0.01555,0.99,1.05,0.06,0.0180305898304977,0.0001343842193701,0.1558921222210614,2.2217327542299383,0.0632750228748742,0.0369188937640378,0.0155499999999999,0.0010488717498335,-28566.02950323017,2754704.3831741256,0.0129728606497032,0.0005131842098829,0.1711070954307401,2.7866780523025265,0.0011888016096726,0.2903048969432046,0.109726318776196,0.0179634991143333,0.0001494179064063,0.1431834802644112,2.324289460586263,0.079576026583891,0.0464304103794571,0.0155163528720313,0.12432064769844531,0.01886283256596588,0.15062143387200377,0.0052706883490576395,0.15459192034906788,0.016515175081672218
2010-06-30,EU,0.9883484116775584,0.013605,0.99,1.05,0.06,0.0185327515944572,0.0001668225768592,0.259228134363099,2.180192112064444,0.0788275214289616,0.0765011086482701,0.013605,0.0018509064789635,-12186.449791473484,881303.2319814406,0.0119017220812848,0.0005499115953178,0.2703738735200182,2.7412369793334115,0.0009970504699386,0.3227924800702747,0.1143017234161837,0.0185599140291857,0.0001853548446938,0.2331225730023391,2.2303718853449577,0.098324953083955,0.0954235237402433,0.0155163528720313,0.1865899430478497,0.046532629954489396,0.1938727901653945,0.0653553441977045,0.23851630074078578,0.0318575727792324
2010-07-30,EU,0.9880025502627494,0.01309,0.99,1.05,0.06,0.0161905954565886,0.0001280293410087,0.2597804448961521,2.284579143230091,0.080174180854411,0.0247237638929127,0.01309,0.0008966219319921,-36142.07664178396,3751834.5206381967,0.0101997475999239,0.0004823008612607,0.2315943521976952,2.7972002968913747,0.0011804651450775,0.329318621562036,0.0841032242805747,0.0160467320470406,0.0001424746082862,0.2383587826277192,2.386437443323564,0.1007578225005219,0.0310714705704278,0.0155163528720313,0.21800016894178675,0.020358613685932447,0.27036744272194047,-0.010586997825788369,0.2196881424853594,0.011906209712335802
