method,model,r2_oos,rmse_oos,n_test
KW,M1: skew~mean,0.3946734597616214,0.5031337671602442,94
KW,M2: skew~mean+var,0.3764214045168306,0.5106627824805774,94
KW,M3: skew~mean+var+mean2,0.43420252509385193,0.4864286092327583,94
BL,M1: skew~mean,0.4529354711314364,0.5671741778886871,94
BL,M2: skew~mean+var,0.43056180413342215,0.5786560116142978,94
BL,M3: skew~mean+var+mean2,0.35350785806450113,0.6165648996582094,94
MaxEnt,M1: skew~mean,0.7507287107705272,0.19205522919637372,96
MaxEnt,M2: skew~mean+var,0.7292868598889857,0.20014496758173367,96
MaxEnt,M3: skew~mean+var+mean2,0.783166772780107,0.1791236471379814,96
